,Date,Open,High,Low,Close,Volume,Year,Sentiment,SPY
1167,2014-08-22,470.94,479.5495,470.05,479.19,1962200.0,2014,,479.19
1168,2014-08-25,481.55,485.3,477.53,480.93,1926400.0,2014,,480.93
1169,2014-08-26,478.5,481.85,474.551,479.36,1448200.0,2014,,479.36
1170,2014-08-27,479.4,480.245,473.63,474.7,1484900.0,2014,,474.7
1171,2014-08-28,472.65,477.48,470.81,475.21,1083500.0,2014,,475.21
1172,2014-08-29,476.85,480.5,474.14,477.64,1405500.0,2014,,477.64
1173,2014-09-02,478.5,478.79,474.59,476.6,1258100.0,2014,,476.6
1174,2014-09-03,480.52,487.6,476.53,477.39,2317000.0,2014,0.0,477.39
1175,2014-09-04,479.11,481.69,472.13,472.67,1708400.0,2014,,472.67
1176,2014-09-05,473.23,477.35,470.07,475.68,1707600.0,2014,,475.68
1177,2014-09-08,474.4,480.6,474.2,479.33,1095500.0,2014,,479.33
1178,2014-09-09,486.3,489.2867,476.4,479.01,2819700.0,2014,0.0,479.01
1179,2014-09-10,480.2,484.75,477.0368,484.39,1300700.0,2014,,484.39
1180,2014-09-11,482.57,484.36,479.67,481.56,1123600.0,2014,,481.56
1181,2014-09-12,483.65,484.89,476.12,476.55,1917900.0,2014,,476.55
1182,2014-09-15,477.54,477.54,456.85,457.75,2920400.0,2014,0.0,457.75
1183,2014-09-16,448.4,458.14,445.6,456.91,3834100.0,2014,,456.91
1184,2014-09-17,456.91,458.8655,451.29,454.53,1733300.0,2014,,454.53
1185,2014-09-18,457.47,461.36,453.32,459.01,1518600.0,2014,0.0,459.01
1186,2014-09-19,461.0,461.33,454.17,457.52,1708700.0,2014,,457.52
1187,2014-09-22,456.27,456.95,438.8801,442.78,2309900.0,2014,,442.78
1188,2014-09-23,441.23,448.01,440.5,443.9,1638800.0,2014,,443.9
1189,2014-09-24,444.46,451.66,442.54,450.56,1360915.0,2014,,450.56
1190,2014-09-25,449.9,452.35,442.42,443.49,1404413.0,2014,,443.49
1191,2014-09-26,445.0,450.64,443.89,448.75,1486385.0,2014,,448.75
1192,2014-09-29,444.07,450.54,442.02,449.56,1359647.0,2014,,449.56
1193,2014-09-30,452.3,457.1895,449.8,451.18,1782601.0,2014,0.0,451.18
1194,2014-10-01,448.69,450.0,437.29,438.8,2203094.0,2014,,438.8
1195,2014-10-02,438.9,450.49,437.88,449.98,2636205.0,2014,,449.98
1196,2014-10-03,453.19,460.6,452.51,459.54,2184628.0,2014,,459.54
1197,2014-10-06,462.0,467.21,461.0,463.48,1958764.0,2014,,463.48
1198,2014-10-07,461.1,466.28,456.0,456.25,1965731.0,2014,,456.25
1199,2014-10-08,456.65,467.6,451.3843,466.86,2049152.0,2014,,466.86
1200,2014-10-09,466.63,467.99,459.56,461.62,2133325.0,2014,,461.62
1201,2014-10-10,459.8,464.84,451.44,452.08,2731835.0,2014,,452.08
1202,2014-10-13,451.25,452.4701,433.0,438.58,2890189.0,2014,,438.58
1203,2014-10-14,445.51,451.99,438.13,449.12,2394243.0,2014,,449.12
1204,2014-10-15,444.47,450.98,430.18,448.59,8561082.0,2014,0.0,448.59
1205,2014-10-16,332.73,366.17,331.0,361.7,13186428.0,2014,,361.7
1206,2014-10-17,359.81,360.07,341.5,357.09,11312209.0,2014,,357.09
1207,2014-10-20,356.0,369.19,355.5522,359.22,4791203.0,2014,,359.22
1208,2014-10-21,362.26,366.79,355.44,365.99,2770361.0,2014,,365.99
1209,2014-10-22,368.99,381.98,363.2,374.65,4596527.0,2014,,374.65
1210,2014-10-23,380.52,385.77,378.2501,383.04,2846691.0,2014,,383.04
1211,2014-10-24,382.58,387.0,380.81,385.02,2094690.0,2014,,385.02
1212,2014-10-27,383.9,384.5,376.7,379.4,2135909.0,2014,,379.4
1213,2014-10-28,379.75,386.87,378.35,386.22,1678692.0,2014,,386.22
1214,2014-10-29,386.22,386.6775,377.77,378.1,1794294.0,2014,,378.1
1215,2014-10-30,377.51,382.34,374.6,379.01,1513383.0,2014,,379.01
1216,2014-10-31,384.4,393.77,384.0,392.77,2926677.0,2014,,392.77
1217,2014-11-03,393.23,395.52,385.11,388.41,2515483.0,2014,,388.41
1218,2014-11-04,386.92,387.25,378.77,382.78,1627119.0,2014,,382.78
1219,2014-11-05,385.61,387.84,376.3917,380.38,1949394.0,2014,,380.38
1220,2014-11-06,378.0,385.33,377.35,383.3,1427419.0,2014,,383.3
1221,2014-11-07,383.44,385.25,379.3,384.16,1329140.0,2014,,384.16
1222,2014-11-10,383.0,389.45,379.0,387.27,1387331.0,2014,,387.27
1223,2014-11-11,387.27,394.1,381.81,382.55,2121311.0,2014,,382.55
1224,2014-11-12,381.13,385.96,377.0442,383.86,1565532.0,2014,,383.86
1225,2014-11-13,384.46,385.049,377.525,379.41,1498638.0,2014,,379.41
1226,2014-11-14,379.38,387.22,378.565,386.04,1569803.0,2014,,386.04
1227,2014-11-17,385.38,389.4999,380.75,381.14,1317949.0,2014,,381.14
1228,2014-11-18,381.0,384.9,380.53,381.03,1132454.0,2014,,381.03
1229,2014-11-19,383.21,387.05,362.66,363.1,3502203.0,2014,0.0,363.1
1230,2014-11-20,363.09,373.26,361.0,368.14,2203633.0,2014,,368.14
1231,2014-11-21,372.48,373.25,359.5,360.28,2553969.0,2014,,360.28
1232,2014-11-24,360.56,363.4583,355.4,356.47,2551987.0,2014,,356.47
1233,2014-11-25,351.02,352.4336,344.0,348.99,4014406.0,2014,,348.99
1234,2014-11-26,351.08,353.69,348.2182,351.16,1437903.0,2014,,351.16
1235,2014-11-28,353.59,354.0,345.99,346.59,957465.0,2014,,346.59
1236,2014-12-01,345.0,347.0,337.6402,341.81,1709239.0,2014,,341.81
1237,2014-12-02,341.3,353.34,340.84,352.31,2038814.0,2014,,352.31
1238,2014-12-03,351.55,355.12,344.27,355.12,1975986.0,2014,,355.12
1239,2014-12-04,353.0,357.95,349.36,350.6,1694959.0,2014,,350.6
1240,2014-12-05,351.03,354.5,348.13,350.92,1418553.0,2014,,350.92
1241,2014-12-08,349.17,349.88,338.03,339.48,1946949.0,2014,,339.48
1242,2014-12-09,334.74,345.36,329.02,343.78,2570624.0,2014,,343.78
1243,2014-12-10,343.15,344.73,333.66,334.32,1810711.0,2014,,334.32
1244,2014-12-11,336.09,340.9,333.59,334.63,1681632.0,2014,,334.63
1245,2014-12-12,331.92,338.26,328.86,334.48,1939217.0,2014,,334.48
1246,2014-12-15,336.39,338.93,326.33,327.04,1717935.0,2014,,327.04
1247,2014-12-16,324.99,329.49,316.0,316.44,2425882.0,2014,,316.44
1248,2014-12-17,317.63,335.07,315.5405,333.65,2884721.0,2014,,333.65
1249,2014-12-18,338.8,342.5,330.63,334.42,2234195.0,2014,,334.42
1250,2014-12-19,335.3,341.04,333.35,340.12,2149723.0,2014,-1.0,340.12
1251,2014-12-22,339.8,344.68,334.24,336.68,1143950.0,2014,,336.68
1252,2014-12-23,338.01,338.9952,332.31,336.43,1186852.0,2014,,336.43
1253,2014-12-24,336.51,343.49,335.99,342.1,773201.0,2014,,342.1
1254,2014-12-26,341.91,346.3895,339.74,340.05,1263921.0,2014,,340.05
1255,2014-12-29,335.79,343.73,333.57,341.93,1229798.0,2014,,341.93
1256,2014-12-30,341.0,343.98,339.772,343.23,1001603.0,2014,,343.23
1257,2014-12-31,343.23,345.74,341.51,341.61,1232539.0,2014,,341.61
1258,2015-01-02,344.06,352.32,341.12,348.94,1924975.0,2015,,348.94
1259,2015-01-05,344.81,344.81,330.0305,331.18,2595003.0,2015,,331.18
1260,2015-01-06,331.43,333.48,319.63,325.51,2291136.0,2015,,325.51
1261,2015-01-07,331.43,331.95,323.9,327.2,1407146.0,2015,,327.2
1262,2015-01-08,329.84,334.85,325.35,334.455,1374887.0,2015,,334.455
1263,2015-01-09,333.42,336.14,328.29,329.29,1360725.0,2015,,329.29
1264,2015-01-12,329.63,330.39,316.85,318.83,1849230.0,2015,,318.83
1265,2015-01-13,322.15,329.3376,321.3,323.79,2675608.0,2015,,323.79
1266,2015-01-14,329.5,331.59,319.76,324.24,2840657.0,2015,,324.24
1267,2015-01-15,325.83,327.5,320.91,323.76,1668384.0,2015,,323.76
1268,2015-01-16,328.0,337.75,324.67,337.34,2813782.0,2015,0.0,337.34
1269,2015-01-20,340.0,350.0,334.0,348.8,5793041.0,2015,,348.8
1270,2015-01-21,414.64,414.68,401.87,409.28,9557538.0,2015,0.0,409.28
1271,2015-01-22,410.0,429.62,404.8,428.44,4759914.0,2015,,428.44
1272,2015-01-23,426.92,439.2,426.17,437.455,3826336.0,2015,,437.455
1273,2015-01-26,438.0,447.29,433.7,446.56,3038435.0,2015,,446.56
1274,2015-01-27,441.61,457.38,441.35,454.17,3516079.0,2015,,454.17
1275,2015-01-28,453.19,453.75,441.57,442.46,3504694.0,2015,,442.46
1276,2015-01-29,442.43,447.49,437.5,443.8,2161134.0,2015,,443.8
1277,2015-01-30,441.93,447.89,438.5902,441.8,1887943.0,2015,,441.8
1278,2015-02-02,439.9,444.0,433.69,441.065,1855827.0,2015,,441.065
1279,2015-02-03,443.24,458.27,439.11,456.92,2348559.0,2015,,456.92
1280,2015-02-04,455.29,456.2199,447.225,448.71,1778706.0,2015,,448.71
1281,2015-02-05,451.79,455.97,445.66,448.91,2035532.0,2015,,448.91
1282,2015-02-06,449.75,451.0,442.23,444.36,1271180.0,2015,,444.36
1283,2015-02-09,442.39,446.5,438.46,443.065,1168476.0,2015,,443.065
1284,2015-02-10,444.22,456.104,441.71,453.95,2202697.0,2015,,453.95
1285,2015-02-11,453.81,462.99,451.9,454.89,1993328.0,2015,,454.89
1286,2015-02-12,455.41,459.25,451.16,456.73,1210277.0,2015,,456.73
1287,2015-02-13,458.0,466.41,457.9599,466.1,1852678.0,2015,,466.1
1288,2015-02-17,465.61,471.6,461.61,469.96,1595772.0,2015,,469.96
1289,2015-02-18,469.16,476.49,466.52,475.06,1473833.0,2015,,475.06
1290,2015-02-19,475.0,481.0,473.02,474.6,1491222.0,2015,,474.6
1291,2015-02-20,475.65,478.6212,473.46,478.2,1345978.0,2015,,478.2
1292,2015-02-23,478.1,478.1999,470.0,471.84,1290243.0,2015,,471.84
1293,2015-02-24,471.61,476.5847,471.49,474.88,867886.0,2015,,474.88
1294,2015-02-25,474.65,481.56,474.65,478.33,979981.0,2015,,478.33
1295,2015-02-26,480.38,486.499,479.01,483.03,1550412.0,2015,,483.03
1296,2015-02-27,483.57,486.0,474.73,474.91,1645242.0,2015,,474.91
1297,2015-03-02,474.0,480.25,470.64,480.25,1455275.0,2015,,480.25
1298,2015-03-03,478.41,479.195,472.55,474.71,1060944.0,2015,,474.71
1299,2015-03-04,472.71,475.48,463.28,469.77,2493397.0,2015,,469.77
1300,2015-03-05,472.0,472.2495,464.94,467.65,1606998.0,2015,,467.65
1301,2015-03-06,466.5,468.4814,453.91,454.12,1841220.0,2015,0.0,454.12
1302,2015-03-09,454.93,455.65,439.8,445.63,2710133.0,2015,,445.63
1303,2015-03-10,441.11,443.46,433.88,435.06,2563862.0,2015,,435.06
1304,2015-03-11,435.68,447.584,435.68,440.19,2337631.0,2015,,440.19
1305,2015-03-12,443.43,452.08,443.38,448.32,2093521.0,2015,,448.32
1306,2015-03-13,447.35,448.4,436.57,438.4,1451571.0,2015,,438.4
1307,2015-03-16,430.83,430.83,417.34,421.97,3828017.0,2015,,421.97
1308,2015-03-17,417.99,424.86,415.69,418.52,2632590.0,2015,,418.52
1309,2015-03-18,418.17,424.55,415.1,423.12,2090705.0,2015,,423.12
1310,2015-03-19,423.22,428.4839,421.79,425.21,1635689.0,2015,,425.21
1311,2015-03-20,429.36,432.5,426.27,428.295,1948834.0,2015,,428.295
1312,2015-03-23,426.23,428.09,422.311,425.0,1094872.0,2015,,425.0
1313,2015-03-24,427.95,441.69,427.832,438.28,2412678.0,2015,,438.28
1314,2015-03-25,438.79,438.84,421.71,421.75,3093198.0,2015,,421.75
1315,2015-03-26,417.4,423.13,415.73,418.26,2291255.0,2015,,418.26
1316,2015-03-27,415.31,418.93,410.01,414.77,2264562.0,2015,,414.77
1317,2015-03-30,418.01,423.95,415.55,422.57,1896054.0,2015,,422.57
1318,2015-03-31,420.77,422.9399,416.19,416.69,2035515.0,2015,,416.69
1319,2015-04-01,417.5,418.5,410.92,413.12,2091392.0,2015,,413.12
1320,2015-04-02,413.5,417.25,412.03,414.08,1409173.0,2015,,414.08
1321,2015-04-06,411.38,423.13,409.25,422.31,1532904.0,2015,,422.31
1322,2015-04-07,423.48,425.94,420.3,423.46,1425388.0,2015,,423.46
1323,2015-04-08,428.41,441.75,428.292,441.35,3189671.0,2015,,441.35
1324,2015-04-09,441.0,441.95,434.8,439.5,1922220.0,2015,,439.5
1325,2015-04-10,450.78,454.97,447.63,454.57,3195299.0,2015,,454.57
1326,2015-04-13,470.68,485.0,469.4,474.68,6348135.0,2015,1.0,474.68
1327,2015-04-14,482.0,484.0,471.95,478.71,4091734.0,2015,,478.71
1328,2015-04-15,480.93,480.93,471.548,475.46,6075517.0,2015,,475.46
1329,2015-04-16,532.0,568.75,530.0,562.05,14928678.0,2015,0.0,562.05
1330,2015-04-17,558.45,575.0,558.0,571.55,8329481.0,2015,,571.55
1331,2015-04-20,572.5,576.13,562.67,567.39,4395200.0,2015,,567.39
